customer_id,first_name,last_name,email,phone,birth_date,account_open_date,account_type,status,balance_amount,deposit_amount,withdrawal_amount,credit_score,transaction_count,region,country_code,state_code,zip_code,referral_source,last_login_date,audit_required_fields_missing,audit_has_missing_required,audit_missing_required_count,audit_source_dataset,audit_load_timestamp,audit_row_id
A000001,Linda,Johnson,linda.johnson760@outlook.com,,1970-11-15,2008-12-01,IRA,Suspended,24111.63,6976.9,,732,79,Midwest,US,CT,22156,Mail,2024-12-05,,NO,0,dataset_A,2026-05-15 16:41:45,1
A000002,John,Robinson,john.robinson550@gmail.com,(570) 791-4150,1954-02-10,2012-12-24,Checking,Suspended,97298.13,18926.72,6905.08,514,359,Northeast,US,RI,93227,Branch,2024-05-16,,NO,0,dataset_A,2026-05-15 16:41:45,2
A000003,Karen,Scott,karen.scott225@outlook.com,(474) 267-4456,2000-11-19,2022-05-24,CD,Inactive,84206.62,38800.0,21781.08,738,204,Southeast,US,NC,74686,Online,2023-08-13,,NO,0,dataset_A,2026-05-15 16:41:45,3
A000004,Sandra,Hill,sandra.hill66@hotmail.com,(211) 896-2876,1998-03-05,2015-04-05,Savings,Suspended,,49806.07,37950.34,408,152,West,US,RI,36071,Branch,2023-11-27,balance_amount,YES,1,dataset_A,2026-05-15 16:41:45,4
A000005,Kimberly,Smith,kimberly.smith614@outlook.com,(445) 259-4946,1957-01-24,2003-02-07,Savings,Suspended,48604.87,5593.39,2951.49,516,386,Southeast,US,VA,50857,Mail,2025-02-03,,NO,0,dataset_A,2026-05-15 16:41:45,5
A000006,Mark,Davis,,(434) 269-1514,1956-05-10,2021-10-10,IRA,Pending,5934.6,1051.71,849.25,399,181,Southwest,US,WA,17100,Agent,2023-07-21,email,YES,1,dataset_A,2026-05-15 16:41:45,6
A000007,Nancy,Miller,nancy.miller255@yahoo.com,,1951-04-29,2010-08-08,CD,Inactive,18616.0,22430.68,,571,401,Southwest,US,VT,82845,Agent,2023-11-14,,NO,0,dataset_A,2026-05-15 16:41:45,7
A000008,Patricia,Nguyen,patricia.nguyen754@icloud.com,(743) 361-1931,1957-03-10,2003-01-18,CD,Active,5626.24,15680.24,,729,289,Midwest,US,IN,97782,Agent,2024-06-27,,NO,0,dataset_A,2026-05-15 16:41:45,8
A000009,Lisa,Robinson,lisa.robinson324@gmail.com,(718) 471-3170,1956-03-04,2007-01-28,Money Market,Pending,436.2,31057.96,16427.82,606,53,Southeast,US,KY,25129,Online,2023-11-15,,NO,0,dataset_A,2026-05-15 16:41:45,9
A000010,Jessica,Perez,jessica.perez209@outlook.com,(483) 245-1058,1961-09-26,2007-04-01,CD,Pending,,12556.06,8676.48,336,298,Southwest,US,FL,15482,Referral,2023-03-23,balance_amount,YES,1,dataset_A,2026-05-15 16:41:45,10
A000011,Sarah,Miller,sarah.miller363@icloud.com,,1986-12-09,2011-02-17,Checking,Suspended,88355.54,20318.87,4519.6,771,420,Southeast,US,IA,13101,Agent,2024-11-03,,NO,0,dataset_A,2026-05-15 16:41:45,11
A000012,Karen,Thompson,karen.thompson657@icloud.com,,1988-12-26,2014-01-26,IRA,Active,39667.68,49057.48,12496.04,301,412,Southeast,US,MS,66531,Online,2024-11-07,,NO,0,dataset_A,2026-05-15 16:41:45,12
A000013,Linda,Martin,linda.martin520@outlook.com,(880) 588-3851,1976-12-31,2000-01-07,CD,Pending,66522.74,16309.15,7205.15,823,461,Southeast,US,TX,21114,Referral,2024-11-17,,NO,0,dataset_A,2026-05-15 16:41:45,13
A000014,Sarah,Martin,sarah.martin231@yahoo.com,(666) 624-4185,1984-06-13,2006-08-14,Checking,Suspended,14309.07,2310.69,1608.04,555,62,Southwest,US,TX,79616,Phone,2025-06-25,,NO,0,dataset_A,2026-05-15 16:41:45,14
A000015,Steven,Ramirez,steven.ramirez851@icloud.com,(852) 483-9540,1971-06-19,2012-10-25,Money Market,Pending,44314.32,7957.9,3048.16,519,208,Southwest,US,NE,18161,Branch,2025-03-08,,NO,0,dataset_A,2026-05-15 16:41:45,15
A000016,Mary,Torres,mary.torres390@hotmail.com,(629) 751-9947,1969-10-14,2019-07-20,Money Market,Suspended,92.56,17587.94,16172.84,,303,Northeast,US,CO,94246,Mail,2025-08-03,,NO,0,dataset_A,2026-05-15 16:41:45,16
A000017,Matthew,Lee,matthew.lee217@hotmail.com,,1954-09-03,2003-01-29,Checking,Inactive,32348.0,,9079.38,417,111,Midwest,US,WY,58351,Branch,2023-08-23,,NO,0,dataset_A,2026-05-15 16:41:45,17
A000018,Michael,Nguyen,michael.nguyen27@outlook.com,(806) 907-4978,1977-01-21,2005-06-06,Money Market,Pending,57367.57,45401.31,22971.28,730,54,Midwest,US,SD,70258,Agent,2023-12-27,,NO,0,dataset_A,2026-05-15 16:41:45,18
A000019,Karen,Flores,karen.flores828@icloud.com,(451) 288-5569,1971-11-17,2016-12-31,Money Market,Inactive,77351.47,23243.69,6005.06,582,264,Northeast,US,KS,63271,Mail,2024-05-07,,NO,0,dataset_A,2026-05-15 16:41:45,19
A000020,Dorothy,Lewis,dorothy.lewis812@gmail.com,(684) 766-9698,1999-05-19,2020-05-09,Savings,Active,8851.86,11079.82,8230.99,489,378,West,US,WI,78765,Phone,2023-07-25,,NO,0,dataset_A,2026-05-15 16:41:45,20
A000021,Betty,Lopez,betty.lopez310@gmail.com,(329) 853-9042,1951-02-06,2021-06-22,Checking,Closed,70655.86,6329.15,5203.29,375,351,Southeast,US,OR,49824,Online,2023-08-31,,NO,0,dataset_A,2026-05-15 16:41:45,21
A000022,Joshua,Hill,joshua.hill810@icloud.com,(639) 512-1986,1958-11-26,2011-11-14,Savings,Inactive,22181.56,26128.63,10674.0,781,118,Midwest,US,VT,69510,Online,2024-06-25,,NO,0,dataset_A,2026-05-15 16:41:45,22
A000023,Richard,Ramirez,richard.ramirez118@icloud.com,(514) 809-5728,1992-01-19,2018-01-20,CD,Suspended,22093.35,,5471.89,326,492,West,US,PA,12719,Social Media,,,NO,0,dataset_A,2026-05-15 16:41:45,23
A000024,Donald,King,donald.king668@hotmail.com,(293) 681-6700,1978-10-21,2007-03-19,CD,Closed,91565.32,9074.46,,622,59,Southwest,US,NC,10150,Agent,2025-08-04,,NO,0,dataset_A,2026-05-15 16:41:45,24
A000025,Kimberly,White,kimberly.white638@hotmail.com,(648) 915-8941,2004-08-16,,Checking,Inactive,62353.58,37999.53,17534.8,457,366,Midwest,US,NE,73242,Mail,2023-10-24,account_open_date,YES,1,dataset_A,2026-05-15 16:41:45,25
A000026,Joshua,Allen,joshua.allen765@yahoo.com,(719) 473-1042,1976-10-14,2021-12-18,CD,Closed,86334.71,13812.37,5210.16,493,122,Southeast,US,WY,63841,Online,2025-08-26,,NO,0,dataset_A,2026-05-15 16:41:45,26
A000027,Matthew,Harris,matthew.harris680@yahoo.com,(650) 302-9617,1951-05-18,2006-12-04,Money Market,Closed,49280.53,1850.98,148.66,846,162,Southwest,US,OH,14705,,2024-04-10,,NO,0,dataset_A,2026-05-15 16:41:45,27
A000028,Michael,Miller,michael.miller455@yahoo.com,(583) 641-3385,1986-12-20,2008-01-29,IRA,Suspended,69247.12,45171.2,41233.58,772,235,Northeast,US,NJ,47700,Agent,2023-06-01,,NO,0,dataset_A,2026-05-15 16:41:45,28
A000029,Donna,Martin,donna.martin655@hotmail.com,(309) 442-7248,2001-07-27,2013-03-30,CD,Closed,,22841.79,17021.07,593,117,Midwest,US,IA,93442,Branch,2023-10-08,balance_amount,YES,1,dataset_A,2026-05-15 16:41:45,29
A000030,John,Martin,john.martin808@hotmail.com,(625) 379-4289,1998-05-24,2012-03-23,CD,Closed,2853.14,18243.06,2101.05,444,115,Southwest,US,OK,57942,Online,2023-01-29,,NO,0,dataset_A,2026-05-15 16:41:45,30
A000031,Ashley,White,ashley.white689@outlook.com,(225) 834-6374,1969-11-10,2020-10-28,CD,Active,58248.29,41120.87,12515.74,399,275,Southwest,US,MS,97881,Agent,2025-05-08,,NO,0,dataset_A,2026-05-15 16:41:45,31
A000032,Barbara,Clark,barbara.clark671@gmail.com,(422) 654-8285,1982-07-16,2016-06-23,Money Market,Active,83286.15,30782.61,3760.39,765,108,West,US,AK,16629,Social Media,2023-09-15,,NO,0,dataset_A,2026-05-15 16:41:45,32
A000033,Emily,Wilson,emily.wilson601@yahoo.com,(483) 348-3129,1965-08-27,,IRA,Closed,,11649.93,8640.96,365,398,West,US,CT,69245,Phone,2023-03-30,"account_open_date, balance_amount",YES,2,dataset_A,2026-05-15 16:41:45,33
A000034,Kimberly,Martin,kimberly.martin470@gmail.com,(654) 275-2323,1963-04-23,2024-08-06,IRA,Pending,5612.95,23949.1,10302.89,417,333,West,US,WA,38183,Mail,2024-04-12,,NO,0,dataset_A,2026-05-15 16:41:45,34
A000035,Ashley,Sanchez,ashley.sanchez426@gmail.com,(685) 268-2494,1958-05-13,2016-09-18,IRA,Pending,30911.11,15626.18,6419.37,733,369,Midwest,US,RI,50953,Referral,2025-11-05,,NO,0,dataset_A,2026-05-15 16:41:45,35
A000036,Donald,Anderson,donald.anderson868@gmail.com,(639) 774-1430,1973-12-29,2013-11-10,Savings,Inactive,34686.46,27813.27,3946.0,331,271,Southwest,US,NJ,54681,Branch,2024-10-26,,NO,0,dataset_A,2026-05-15 16:41:45,36
